"sample","latitude","longitude","date","time.bottom","location","depth","fov.Open","mean.relief","sd.relief","broad.Ascidians","broad.Bryozoa","broad.Consolidated","broad.Hydroids","broad.Invertebrate Complex","broad.Macroalgae","broad.Octocoral/Black","broad.Seagrasses","broad.Sponges","broad.Stony corals","broad.Unconsolidated","broad.Unknown"
"148",-34.0518,114.925,20210308,07:36:19,"West Coast",46.6,100,1.44262295081967,0.806733953748786,0,0,2.5974025974026,0,0,29.8701298701299,0,0,1.2987012987013,0,58.4415584415584,7.79220779220779
"2",-34.0604,114.924,20210308,07:48:50,"West Coast",47.3,100,2.32258064516129,0.741602021952146,0,0,13.8888888888889,0,0,44.4444444444444,0,0,16.6666666666667,0,23.6111111111111,1.38888888888889
"99",-34.0555,114.916,20210308,08:00:44,"West Coast",47.2,100,2,0.430331482911935,0,0,21.5189873417722,0,0,58.2278481012658,0,1.26582278481013,11.3924050632911,0,1.26582278481013,6.32911392405063
"127",-34.0545,114.91,20210308,08:10:54,"West Coast",44,100,3,0,0,0,0,0,0,46.7532467532467,0,25.974025974026,20.7792207792208,0,1.2987012987013,5.19480519480519
"43",-34.0521,114.909,20210308,08:19:45,"West Coast",45.5,100,2.109375,0.737158583873089,0,0,7.5,0,0,55,1.25,11.25,8.75,0,16.25,0
"110",-34.0505,114.907,20210308,08:29:42,"West Coast",45,100,2.7258064516129,0.60515151438919,0,0,5.06329113924051,0,0,39.2405063291139,0,41.7721518987342,1.26582278481013,0,10.126582278481,2.53164556962025
"139",-34.0616,114.898,20210308,08:42:53,"West Coast",44,100,2.51612903225806,0.503819362758967,0,0,12.6582278481013,0,0,73.4177215189873,0,3.79746835443038,1.26582278481013,0,6.32911392405063,2.53164556962025
"133",-34.075,114.911,20210308,08:57:52,"West Coast",44,100,2.82539682539683,0.382676589626049,0,0,4,0,0,54.6666666666667,0,25.3333333333333,4,0,2.66666666666667,9.33333333333333
"52",-34.0826,114.915,20210308,09:08:49,"West Coast",46.1,100,2.79661016949153,0.40597524202367,0,0,5.19480519480519,0,0,63.6363636363636,0,16.8831168831169,10.3896103896104,0,2.5974025974026,1.2987012987013
"91",-34.0807,114.928,20210308,09:21:33,"West Coast",44.8,100,2.57377049180328,0.531005850358312,0,0,1.2987012987013,0,0,85.7142857142857,0,0,0,0,10.3896103896104,2.5974025974026
"47",-34.0832,114.926,20210308,09:32:14,"West Coast",45.1,100,2.85714285714286,0.352737810751329,0,0,1.26582278481013,0,0,75.9493670886076,0,22.7848101265823,0,0,0,0
"16",-34.0848,114.924,20210308,09:42:04,"West Coast",44.1,100,2.734375,0.718070330817254,0,0,0,0,0,57.8947368421053,0,26.3157894736842,10.5263157894737,0,1.31578947368421,3.94736842105263
"38",-34.0904,114.917,20210308,09:54:17,"West Coast",45.4,100,2.98412698412698,0.125988157669742,0,0,2.7027027027027,0,0,43.2432432432432,0,25.6756756756757,13.5135135135135,0,2.7027027027027,12.1621621621622
"71",-34.0923,114.908,20210308,10:05:26,"West Coast",43.5,100,2.83606557377049,0.3732884438274,0,0,3.79746835443038,0,0,82.2784810126582,0,6.32911392405063,1.26582278481013,0,6.32911392405063,0
"14",-34.0979,114.913,20210308,10:15:13,"West Coast",43.6,100,2.31746031746032,0.502426268877297,0,0,10.126582278481,0,0,49.3670886075949,0,0,10.126582278481,0,18.9873417721519,11.3924050632911
"150",-34.1,114.917,20210308,10:25:02,"West Coast",44.6,100,2.17647058823529,0.731817946339609,0,0,13.9240506329114,0,0,50.6329113924051,0,0,0,0,32.9113924050633,2.53164556962025
"92",-34.101,114.918,20210308,10:32:55,"West Coast",44.3,100,2.75,0.639602149066831,0,0,15,0,0,21.25,0,33.75,21.25,0,8.75,0
"28",-34.0995,114.923,20210308,10:41:55,"West Coast",47,100,2.6,0.524404424085076,0,0,1.25,0,0,55,0,17.5,15,0,6.25,5
"124",-34.1003,114.929,20210308,10:51:39,"West Coast",45,100,1.8955223880597,0.720570656813666,0,0,1.26582278481013,0,0,51.8987341772152,0,0,1.26582278481013,0,45.5696202531646,0
"53",-34.1047,114.92,20210308,11:03:15,"West Coast",45.4,100,2.03076923076923,0.611586838918613,0,0,8.75,0,0,60,0,0,3.75,0,26.25,1.25
"6",-34.1073,114.918,20210308,11:15:50,"West Coast",44.4,100,3,0,0,0,6.41025641025641,0,0,57.6923076923077,0,28.2051282051282,3.84615384615385,0,0,3.84615384615385
"149",-34.1135,114.931,20210308,11:27:50,"West Coast",45.1,100,2.16666666666667,0.597001052268969,0,0,2.53164556962025,0,0,59.4936708860759,0,8.86075949367089,2.53164556962025,0,26.5822784810127,0
"32",-34.1125,114.921,20210308,11:39:04,"West Coast",45.1,100,2.53846153846154,0.561162940823649,0,0,2.5,0,0,56.25,0,22.5,3.75,0,12.5,2.5
"116",-34.1138,114.919,20210308,11:47:32,"West Coast",45.1,100,2.52380952380952,0.591802682273867,0,0,5,0,0,76.25,0,1.25,1.25,0,15,1.25
"69",-34.1187,114.911,20210308,11:58:09,"West Coast",43.7,100,3,0,0,0,25,0,0,56.578947368421,0,11.8421052631579,0,0,0,6.57894736842105
"138",-34.119,114.912,20210308,12:06:14,"West Coast",41.8,100,3,0,0,0,0,0,0,59.4936708860759,0,32.9113924050633,1.26582278481013,0,0,6.32911392405063
